id,title,author,year_of_publication,publisher,,,
115,"Hitler, a study in tyranny, (Perennial library, P216)",Alan Bullock,1971,Harper &amp Row,,,
116,He Understanding Masculine Psychology,Robert A Johnson,1977,Harpercollins Publisher,,,
117,Gaudy Night,Dorothy L. Sayers,1986,HarperCollins Publishers,,,
118,My Friend Flicka,Mary O'Hara,1988,Perennial,,,
119,Brave New World,Aldous Huxley,1989,Harpercollins,,,
120,Brave New World &amp Brave New World Revisited,Aldous Huxley,1942,Perennial,,,
121,The Thurber Carnival (Harper Colophon Books),James Thurber,1975,HarperCollins,,,
122,Lore of the Unicorn,Odell Shepard,1979,Harpercollins,,,
123,Inanna,Diane Wolkstein,1983,Perennial,,,
124,In Country RI,Bobbie Ann Mason,1986,Perennial,,,
125,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers,,,
126,A Loss for Words : The Story of Deafness in a Family,Lou Ann Walker,1987,Perennial,,,
127,The Unbearable Lightness of Being,Milan Kundera,1988,Harpercollins,,,
128,The Bean Trees,Barbara Kingsolver,1989,Perennial,,,
129,Their Eyes Were Watching God: A Novel,Zora Neale Hurston,1990,Perennial,,,
130,Homeland and Other Stories,Barbara Kingsolver,1990,Perennial,,,
131,Affliction,Russell Banks,1990,Perennial,,,
132,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,1991,Perennial,,,
133,Pigs in Heaven,Barbara Kingsolver,1994,Perennial,,,
134,Sweet Hereafter Movie Tie-In : A Novel,Russell Banks,1992,Perennial,,,
135,Love in Black and White: The Triumph of Love over Prejudice and Taboo,Mark Mathabane,1993,HarperCollins,,,
136,"A Suitable Boy : Novel, A",Vikram Seth,1994,Perennial,,,
137,Mutant Message Down Under,Marlo Morgan,1995,Perennial,,,
138,"Rule of the Bone : Novel, A",Russell Banks,1996,Perennial,,,
139,Creativity : Flow and the Psychology of Discovery and Invention,Mihaly Csikszentmihalyi,1997,Perennial,,,
140,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,,,
141,As Nature Made Him : The Boy Who Was Raised as a Girl,John Colapinto,2001,Perennial,,,
142,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,,,
143,The Antelope Wife : A Novel,Louise Erdrich,1999,Perennial,,,
144,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial,,,
145,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999,Perennial,,,
146,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial,,,
147,Someone to Watch Over Me : Stories,Richard Bausch,2000,Perennial,,,
148,The Map That Changed the World : William Smith and the Birth of Modern Geology,Simon Winchester,2002,Perennial,,,
149,Daughter of Fortune,Isabel Allende,2000,Perennial,,,
150,Daughters of Britannia : The Lives and Times of Diplomatic Wives,Katie Hickman,2002,Perennial,,,
151,Bel Canto: A Novel,Ann Patchett,2002,Perennial,,,
152,stardust,Neil Gaiman,2001,Perennial,,,
153,Mike Nelson's Death Rat! : A Novel,Michael J. Nelson,2003,Perennial Currents,,,
154,Portrait in Sepia : A Novel,Isabel Allende,2002,Perennial,,,
155,First Mothers: The Women Who Shaped the Presidents,Bonnie Angelo,2001,Perennial,,,
156,The Accidental Virgin,Valerie Frankel,2003,Avon Trade,,,
157,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial,,,
158,Martha Stuart's Better Than You at Entertaining (A Parody),Tom Connor,1996,Perennial Currents,,,
159,The Keys of Egypt: The Race to Crack the Hieroglyph Code,Lesley Adkins,2001,Perennial,,,
160,Anna and the King of Siam,Margaret Landon,1999,Perennial,,,
161,The Peculiar Memories of Thomas Penman,Bruce Robinson,2000,Perennial,,,
162,Veronika Decides to Die,Paulo Coelho,2001,Perennial,,,
163,Five Quarters of the Orange,Joanne Harris,2002,Perennial,,,
164,After Lucy : A Novel,Daniel Jones,2001,Perennial,,,
165,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial,,,
166,The Man Who Mistook His Wife for a Hat: And Other Clinical Tales,Oliver Sacks,1987,Harpercollins,,,
167,Tracks RI,Louise Erdrich,2004,Perennial,,,
168,This Boy's Life: A Memoir,Tobias Wolff,1989,Perennial,,,
169,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,,,
170,The Mambo Kings Play Songs of Love,Oscar Hijuelos,1990,Perennial,,,
171,Lakota Woman,Dog Mary Crow,1991,Perennial,,,
172,The Lover,Marguerite Duras,1992,Harpercollins,,,
173,Love Medicine,Louise Erdrich,1993,Perennial,,,
174,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,,,
175,Downsize This! Random Threats from an Unarmed American,Michael Moore,1997,Perennial,,,
176,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1999,Perennial,,,
177,The God of Small Things,Arundhati Roy,1998,Perennial,,,
178,The Beet Queen : A Novel,Louise Erdrich,1998,Perennial,,,
179,Mariette in Ecstasy,Ron Hansen,1992,Perennial,,,
180,Microserfs,Douglas Coupland,1996,Regan Books,,,
181,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,,,
182,Royal Blood: Richard III and the Mystery of the Princes,Bertram Fields,2000,Regan Books,,,
183,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,2000,Regan Books,,,
184,I Know This Much Is True,Wally Lamb,1999,Regan Books,,,
185,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch,,,
186,Skinwalkers (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch,,,
187,The Fly on the Wall,Tony Hillerman,1990,HarperTorch,,,
188,Fatherland,Robert Harris,1995,HarperTorch,,,
189,Kane &amp Abel,Jeffrey Archer,1993,HarperTorch,,,
190,Fighter: The True Story of the Battle of Britain,Len Deighton,1994,Harper Mass Market Paperbacks (Mm),,,
191,Pacific Blues,Stephen Smoke,1996,Harper Mass Market Paperbacks (Mm),,,
192,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,,,
193,Serpico,Peter Maas,1997,HarperTorch,,,
194,A Secret Affair,Barbara Taylor Bradford,1997,HarperTorch,,,
195,The Run,Stuart Woods,2001,HarperTorch,,,
196,Prey,Michael Crichton,2003,Avon Books,,,
197,The Color of Magic,Terry Pratchett,2000,HarperTorch,,,
198,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,Avon Books,,,
199,Wild Justice,Phillip Margolin,2001,HarperTorch,,,
200,U.S.S. Seawolf,Patrick Robinson,2001,HarperTorch,,,
201,Wild Thorn,William Hoffman,2003,Avon Books,,,
202,The Vendetta Defense,Lisa Scottoline,2002,HarperTorch,,,
203,Absolute Zero,Chuck Logan,2003,HarperTorch,,,
204,The Promise in a Kiss,Stephanie Laurens,2002,Avon Books,,,
205,To Cut a Long Story Short,Jeffrey Archer,2001,HarperTorch,,,
206,Breathing Room (Avon Romance),Susan Elizabeth Phillips,2003,Avon Books,,,
207,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,2001,HarperCollins,,,
208,Suddenly,Barbara Delinsky,1994,HarperTorch,,,
209,Final Appeal,Lisa Scottoline,1994,HarperTorch,,,
210,Strong Poison,Dorothy L. Sayers,1995,HarperTorch,,,
211,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,1998,HarperPrism,,,
212,"The Iron Lance (The Celtic Crusades, Book 1)",Stephen R. Lawhead,2000,HarperCollins,,,
213,"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)",Terry Pratchett,1997,HarperPrism,,,
214,Interesting Times: A Novel of Discworld,Terry Pratchett,1997,Harpercollins,,,
215,Ancient Shores,Jack McDevitt,1996,Eos,,,
216,Blackmantle (Keltiad),Patricia Kennealy-Morrison,1998,Eos,,,
217,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment,,,
218,Independence Day,Dean Devlin,1996,HarperEntertainment,,,
219,'48,James Herbert,1998,Eos,,,
220,Diaspora,Greg Egan,1999,Eos,,,
221,Blade,Mel Odom,1998,HarperEntertainment,,,
222,"Blowtorch Psycho.Com (Bone Chillers, No 18)",Sherry Shahan,1997,Harpercollins Juvenile Books,,,
223,"Two of a Kind #19: Surprise, Surprise! (Two of a Kind, 19)",Mary-Kate &amp Ashley Olsen,2001,HarperEntertainment,,,
224,"Resist or Serve (The Official Guide to the X-Files, Vol. 4)",Andy Meisler,1999,Perennial Currents,,,
225,Mary-Kate &amp Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp Ashley Olsen,2000,HarperEntertainment,,,
226,The Mist and the Magic (Harper Monogram),Susan Wiggs,1993,Harper Mass Market Paperbacks,,,
227,Rebel (Starbuck Chronicles),Bernard Cornwell,1994,HarperTorch,,,
228,A Marriage Made in Heaven : Or Too Tired for an Affair,Erma Bombeck,1994,HarperTorch,,,
229,Dangerous to Know,Barbara Taylor Bradford,1996,HarperTorch,,,
230,Star Trek Memories,William Shatner,1994,HarperTorch,,,
231,Lily White,Susan Isaacs,1997,HarperTorch,,,
232,"Red, White and Blue : A Novel",Susan Isaacs,1999,HarperTorch,,,
233,Eyeshot,Lynn S. Hightower,1997,Harper Mass Market Paperbacks (Mm),,,
234,Unwanted Company,Barbara Seranella,2001,Avon Books,,,
235,The Bean Trees,Barbara Kingsolver,1998,HarperTorch,,,
236,Switcheroo : A Novel,Olivia Goldsmith,1999,HarperTorch,,,
237,H.M.S. Unseen,Patrick Robinson,2000,HarperTorch,,,
238,Circle of Three: A Novel,Patricia Gaffney,2001,HarperTorch,,,
239,The Wailing Wind,Tony Hillerman,2003,HarperTorch,,,
240,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,,,
241,Downtown,Anne Rivers Siddons,1995,HarperTorch,,,
242,Hill Towns,Anne Rivers Siddons,1994,HarperTorch,,,
243,The Flight of the Seventh Moon: The Teaching of the Shields,Lynn Andrews,1985,HarperCollins Publishers,,,
244,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1993,HarperSanFrancisco,,,
245,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco,,,
246,On Relationships,Jiddu Krishnamurti,1992,HarperSanFrancisco,,,
247,Becoming a Man : Half a Life Story,Paul Monette,1993,HarperSanFrancisco,,,
248,"The Thirteen Original Clan Mothers : Your Sacred Path to Discovering the Gifts, Talents, and Abilities of the Feminin",Jamie Sams,1994,HarperSanFrancisco,,,
249,Every Part of This Earth Is Sacred: Native American Voices in Praise of Nature,Jana Stone,1993,HarperCollins,,,
250,Essential Rumi,Coleman Barks,1997,HarperSanFrancisco,,,
251,The Cube,Annie Gottlieb,1995,HarperSanFrancisco,,,
252,The Valkyries,Paulo Coelho,1996,HarperSanFrancisco,,,
253,"Creating a Charmed Life : Sensible, Spiritual Secrets Every Busy Woman Should Know",Victoria Moran,1999,HarperSanFrancisco,,,
254,The Monk Downstairs: A Novel,Tim Farrington,2002,HarperSanFrancisco,,,
255,Felinestein : Pampering the Genius in Your Cat,Cindy Ribarich,1999,HarperResource,,,
256,Seattle Access,HarperReference,1993,Access Press (HarperCollins),,,
257,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy,,,
258,Julie of the Wolves (Julie of the Wolves),Jean Craighead George,1972,HarperTrophy,,,
259,Zlateh the Goat and Other Stories,Isaac Bashevis Singer,1984,HarperCollins Publishers,,,
260,More Scary Stories To Tell In The Dark,Alvin Schwartz,1986,HarperTrophy,,,
261,The Half-a-Moon Inn,Paul Fleischman,1991,HarperTrophy,,,
262,The Magician's Nephew (Narnia),C. S. Lewis,1994,HarperTrophy,,,
263,Walk Two Moons,Sharon Creech,1996,HarperTrophy,,,
264,Ella Enchanted (Trophy Newbery),Gail Carson Levine,1998,HarperTrophy,,,
265,Monster (rpkg),Walter Dean Myers,2001,Amistad,,,
266,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,,,
267,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,1999,HarperCollins,,,
268,Kissing the Witch: Old Tales in New Skins,Emma Donoghue,1999,HarperTrophy,,,
269,The Hanged Man,Francesca Lia Block,1999,HarperTrophy,,,
270,"The Austere Academy (A Series of Unfortunate Events, Book 5)",Lemony Snicket,2000,HarperCollins,,,
271,"The Magician's Nephew (The Chronicles of Narnia, Book 1, Full-Color Collector's Edition)",C. S. Lewis,2000,HarperTrophy,,,
272,The Silver Chair (full color) (Narnia),C. S. Lewis,2000,HarperTrophy,,,
273,"The Carnivorous Carnival (A Series of Unfortunate Events, Book 9)",Lemony Snicket,2002,HarperCollins,,,
274,"No Survivors (Nightmare Room Thrillogy, 3)",R. L. Stine,2001,Avon Books,,,
275,Taking the Ferry Home,Pam Conrad,1990,Harpercollins Juvenile Books,,,
276,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,HarperTempest,,,
277,All-American Girl,Meg Cabot,2003,HarperTrophy,,,
278,Circle of Three #3: Second Sight (Circle of Three),Isobel Bird,2001,Avon,,,
279,The Book of Shadows: A Novel,James Reese,2002,William Morrow,,,
280,Rebecca's Tale,Sally Beauman,2001,William Morrow &amp Company,,,
281,Portrait in Sepia,Isabel Allende,2001,HarperCollins Publishers,,,
282,Prey: A Novel,Michael Crichton,2002,HarperCollins,,,
283,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,2001,HarperBusiness,,,
284,Flaubert's Parrot,Julian Barnes,1986,McGraw-Hill Companies,,,
285,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill,,,
286,The Individual In A Social World: Essays and Experiments,Stanley  Milgram,1992,McGraw-Hill Humanities/Social Sciences/Languages,,,
287,Net Slaves: True Tales of Working the Web,Bill Lessard,1999,McGraw-Hill Trade,,,
288,"More Than a Pink Cadillac : Mary Kay, Inc.'s Nine Leadership Keys to Success",Jim Underwood,2002,McGraw-Hill,,,
289,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill,,,
290,"Taking Sides: Clashing Views on Controversial Issues in American History, Vol. I",Larry  Madaras,2001,McGraw-Hill/Dushkin,,,
291,Leading Corporate Citizens,Sandra  Waddock,2001,McGraw-Hill/Irwin,,,
292,Comprehensive School Health Education: Totally Awesome Strategies for Teaching Health,Linda Brower Meeks,2002,McGraw-Hill Companies,,,
293,Sugar Busters! (Sugar Busters!),Leighton Stewart,1998,Vermilion,,,
294,South Seas Myths and Legends (Myths and Legends Series),Donald A. Mackenzie,1996,Trafalgar Square,,,
295,The Luberon Garden,Alex Dingwall-Main,2002,Ebury Press,,,
296,The Street Lawyer,John Grisham,1999,Random House Uk Ltd,,,
297,The Testament,John Grisham,1999,Trafalgar Square,,,
298,Memoirs of a Geisha Uk,Arthur Golden,0,Trafalgar Square,,,
299,Introduction to Fire Prevention (5th Edition),James C. Robertson,2000,Pearson Education,,,
300,Business in Action,Courtland L. Bovee,2001,Prentice Hall,,,
301,Strategic Renewal: Becoming a High-Performance Organization,Michael Mische,2000,Prentice Hall,,,
302,Becoming a Critical Thinker: A User Friendly Manual (3rd Edition),Sherry Diestler,2000,Pearson Education,,,
303,Managing Technology and Innovation for Competitive Advantage,V.K. Narayanan,2000,Pearson Education,,,
304,Betty Crocker's Eat and Lose Weight,Betty Crocker Editors,1992,Macmillan General Reference,,,
305,Asking the Right Questions: A Guide to Critical Thinking (6th Edition),M. Neil Browne,2000,Prentice Hall,,,
306,Calliope's Sisters: A Comparative Study of Philosophies of Art,Richard L. Anderson,1989,Pearson Education,,,
307,Chemistry,John McMurry,1994,Prentice Hall,,,
308,Introduction to Functional Programming (2nd Edition),Bird,1998,Pearson Education,,,
309,Quotations from Women on Life,Rosalie Maggio,1997,Prentice Hall Art,,,
310,Brighton Rock,Graham Greene,1970,Penguin Books Ltd,,,
311,Day of the Triffids,John Wyndham,0,Penguin Putnam~mass,,,
312,Cider With Rosie,Laurie Lee,1978,Penguin USA,,,
313,Kiss Kiss (French Language Edition),Roald Dahl,1978,French &amp European Pubns,,,
314,The Mystic Masseur,V.S. Naipaul,1993,Penguin USA,,,
315,Journey to the Center of the Earth,Jules Verne,1965,Penguin Books,,,
316,The Mimic Men,V. S. Naipaul,1992,Penguin USA,,,
317,Rommel? Gunner Who?,Spike Milligan,1976,Penguin Books Ltd,,,
318,The Grapes of Wrath,John Steinbeck,1976,Penguin USA,,,
319,Dharma Bums,Jack Kerouac,1991,Penguin Books,,,
320,Tales of the Unexpected,Roald Dahl,0,Penguin Putnam~trade,,,
321,The Trials of Rumpole,John Mortimer,1979,Penguin USA,,,
322,Painter of Signs (King Penguin S.),R.K. Narayan,1982,Penguin Putnam~trade,,,
323,The Deptford Trilogy (King Penguin S.),Robertson Davies,1983,Penguin Books Ltd,,,
324,Ordinary People,Judith Guest,1993,Penguin Books,,,
325,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,,,
326,Ironweed,William J. Kennedy,1989,Penguin Books,,,
327,White Noise (Contemporary American Fiction),Don DeLillo,1991,Penguin Books,,,
328,Q's Legacy,Helene Hanff,1986,Penguin Books,,,
329,The Second Rumpole Omnibus (Crime Monthly),John Mortimer,1989,Penguin Books,,,
330,History of News: From the Drum to the Satellite,Mitchell Stephens,1989,Penguin USA,,,
331,None but a blockhead: On being a writer,Larry L King,1987,Viking Penguin,,,
332,Lake Wobegon Days,Garrison Keillor,1990,Penguin/Puffin Mass Market (Mm),,,
333,"Heroes of Their Own Lives: The Politics and History of Family Violence, Boston 1880-1960",Linda Gordon,1989,Penguin USA,,,
